arm,seed,step,loss,best_so_far,epsilon,sigma,timestep_fs,stable,violations
llm_only_relocated,0,24,0.1765903477495079,0.16633835605657413,5.25,0.558,23.0,True,
llm_only_relocated,0,25,0.1656244395946998,0.1656244395946998,5.26,0.5585,19.0,True,
llm_only_relocated,0,26,0.1660597842214173,0.1656244395946998,5.27,0.559,19.0,True,
llm_only_relocated,0,27,0.1670563353780455,0.1656244395946998,5.26,0.5588,19.5,True,
llm_only_relocated,0,28,0.1666345223371562,0.1656244395946998,5.255,0.559,18.5,True,
llm_only_relocated,0,29,0.16628240798705696,0.1656244395946998,5.26,0.5588,19.0,True,
llm_only_relocated,0,30,0.16736962528194846,0.1656244395946998,5.27,0.5595,19.0,True,
llm_only_relocated,0,31,0.1654679298037811,0.1654679298037811,5.255,0.5585,19.0,True,
llm_only_relocated,0,32,0.16591815217581307,0.1654679298037811,5.255,0.5585,19.0,True,
llm_only_relocated,0,33,0.16570730270107487,0.1654679298037811,5.255,0.5585,19.0,True,
llm_only_relocated,0,34,0.1667591974566674,0.1654679298037811,5.25,0.5585,19.5,True,
llm_only_relocated,0,35,0.16692326201685823,0.1654679298037811,5.25,0.5588,19.0,True,
llm_only_relocated,1,1,0.5141979889169757,0.5141979889169757,3.5,0.47,20.0,True,
llm_only_relocated,1,2,0.40154357196379536,0.40154357196379536,4.8,0.47,20.0,True,
llm_only_relocated,1,3,0.4834422626087986,0.40154357196379536,5.6,0.47,20.0,True,
llm_only_relocated,1,4,0.24381962047363917,0.24381962047363917,4.8,0.52,20.0,True,
llm_only_relocated,1,5,0.24679342055549044,0.24381962047363917,4.8,0.56,20.0,True,
llm_only_relocated,1,6,0.3232795069257423,0.24381962047363917,4.2,0.54,20.0,True,
llm_only_relocated,1,7,0.18669389525875305,0.18669389525875305,5.2,0.54,20.0,True,
llm_only_relocated,1,8,0.20857231173929913,0.18669389525875305,5.6,0.55,20.0,True,
llm_only_relocated,1,9,0.18193818374744744,0.18193818374744744,5.2,0.54,20.0,True,
llm_only_relocated,1,10,0.1860935359230523,0.18193818374744744,5.2,0.54,20.0,True,
llm_only_relocated,1,11,0.1726513697636847,0.1726513697636847,5.1,0.552,20.0,True,
llm_only_relocated,1,12,0.21740903116534224,0.1726513697636847,5.0,0.564,20.0,True,
llm_only_relocated,1,13,0.16337165045634144,0.16337165045634144,5.15,0.546,20.0,True,
llm_only_relocated,1,14,0.1678860491611888,0.16337165045634144,5.15,0.546,14.0,True,
llm_only_relocated,1,15,0.16385165045634142,0.16337165045634144,5.15,0.546,20.0,True,
llm_only_relocated,1,16,0.15357518224658231,0.15357518224658231,5.2,0.55,20.0,True,
llm_only_relocated,1,17,0.1622826196843451,0.15357518224658231,5.25,0.552,20.0,True,
llm_only_relocated,1,18,0.1609027241370142,0.15357518224658231,5.2,0.548,20.0,True,
llm_only_relocated,1,19,0.15625018641951283,0.15357518224658231,5.2,0.551,20.0,True,
llm_only_relocated,1,20,0.15405849532136515,0.15357518224658231,5.2,0.55,20.0,True,
llm_only_relocated,1,21,0.15522756341226196,0.15357518224658231,5.2,0.5495,20.0,True,
llm_only_relocated,1,22,0.15575587602024282,0.15357518224658231,5.19,0.5505,20.0,True,
llm_only_relocated,1,23,0.15573924097980776,0.15357518224658231,5.21,0.55,20.0,True,
llm_only_relocated,1,24,0.15475834058870933,0.15357518224658231,5.2,0.55,20.0,True,
llm_only_relocated,1,25,0.15513045897725372,0.15357518224658231,5.21,0.55,20.0,True,
llm_only_relocated,1,26,0.15447863119241112,0.15357518224658231,5.2,0.55,20.0,True,
llm_only_relocated,1,27,0.15998948270555902,0.15357518224658231,5.22,0.549,20.0,True,
llm_only_relocated,1,28,0.15204737623061224,0.15204737623061224,5.2,0.55,17.0,True,
llm_only_relocated,1,29,0.15170538510636408,0.15170538510636408,5.2,0.55,18.0,True,
llm_only_relocated,1,30,0.1544533552459061,0.15170538510636408,5.2,0.5505,16.0,True,
llm_only_relocated,1,31,0.15179698368960046,0.15170538510636408,5.2,0.55,17.5,True,
llm_only_relocated,1,32,0.15190147277436078,0.15170538510636408,5.2,0.55,17.5,True,
llm_only_relocated,1,33,0.15180520499873684,0.15170538510636408,5.2,0.55,17.8,True,
llm_only_relocated,1,34,0.1569300283740457,0.15170538510636408,5.18,0.551,17.5,True,
llm_only_relocated,1,35,0.15217170681753217,0.15170538510636408,5.2,0.5498,17.7,True,
llm_only_relocated,2,1,0.5538912385592417,0.5538912385592417,3.5,0.47,20.0,True,
llm_only_relocated,2,2,0.45870933507099804,0.45870933507099804,5.0,0.47,20.0,True,
llm_only_relocated,2,3,0.5892037834353233,0.45870933507099804,6.0,0.47,20.0,True,
llm_only_relocated,2,4,0.30600564921060686,0.30600564921060686,4.65,0.52,20.0,True,
llm_only_relocated,2,5,0.3111692917185303,0.30600564921060686,4.65,0.56,20.0,True,
llm_only_relocated,2,6,0.2874813243132413,0.2874813243132413,4.65,0.54,20.0,True,
llm_only_relocated,2,7,0.2280478679283055,0.2280478679283055,5.2,0.54,20.0,True,
llm_only_relocated,2,8,0.29444815507749206,0.2280478679283055,5.7,0.54,20.0,True,
llm_only_relocated,2,9,0.2248770457707673,0.2248770457707673,5.2,0.54,20.0,True,
llm_only_relocated,2,10,0.23015233723683884,0.2248770457707673,5.2,0.54,12.0,True,
llm_only_relocated,2,11,0.22797430085116202,0.2248770457707673,5.2,0.565,20.0,True,
llm_only_relocated,2,12,0.23510995253677328,0.2248770457707673,5.35,0.545,20.0,True,
llm_only_relocated,2,13,0.2147851472760115,0.2147851472760115,5.1,0.555,20.0,True,
llm_only_relocated,2,14,0.25625849364548153,0.2147851472760115,5.05,0.57,20.0,True,
llm_only_relocated,2,15,0.20474367687205192,0.20474367687205192,5.15,0.552,20.0,True,
llm_only_relocated,2,16,0.22295109633250676,0.20474367687205192,5.1,0.558,20.0,True,
llm_only_relocated,2,17,0.21270312582824114,0.20474367687205192,5.2,0.545,20.0,True,
llm_only_relocated,2,18,0.19358417743815512,0.19358417743815512,5.2,0.55,18.0,True,
llm_only_relocated,2,19,0.2002735883409274,0.19358417743815512,5.2,0.548,15.0,True,
llm_only_relocated,2,20,0.1974657260808092,0.19358417743815512,5.22,0.551,18.0,True,
llm_only_relocated,2,21,0.20284607904637542,0.19358417743815512,5.25,0.552,18.0,True,
llm_only_relocated,2,22,0.1929521726260443,0.1929521726260443,5.2,0.55,17.0,True,
llm_only_relocated,2,23,0.196658452142807,0.1929521726260443,5.18,0.551,17.0,True,
llm_only_relocated,2,24,0.1953573460298401,0.1929521726260443,5.15,0.55,17.5,True,
llm_only_relocated,2,25,0.1930965718977491,0.1929521726260443,5.2,0.55,16.5,True,
llm_only_relocated,2,26,0.19420993567247213,0.1929521726260443,5.2,0.55,17.0,True,
llm_only_relocated,2,27,0.19619568516576866,0.1929521726260443,5.21,0.5495,17.0,True,
llm_only_relocated,2,28,0.196080522366893,0.1929521726260443,5.2,0.551,16.5,True,
llm_only_relocated,2,29,0.19639179673040547,0.1929521726260443,5.17,0.547,17.5,True,
llm_only_relocated,2,30,0.19481382440680417,0.1929521726260443,5.2,0.55,18.5,True,
llm_only_relocated,2,31,0.19557755365728105,0.1929521726260443,5.19,0.549,17.0,True,
llm_only_relocated,2,32,0.19414271198218053,0.1929521726260443,5.2,0.5505,17.2,True,
llm_only_relocated,2,33,0.19317459356450029,0.1929521726260443,5.2,0.55,17.5,True,
llm_only_relocated,2,34,0.192975445353317,0.1929521726260443,5.2,0.55,17.0,True,
llm_only_relocated,2,35,0.19666019265878287,0.1929521726260443,5.22,0.55,18.0,True,
llm_only_relocated,3,1,0.4072389552213695,0.4072389552213695,4.0,0.47,20.0,True,
llm_only_relocated,3,2,0.47953935355061716,0.4072389552213695,4.0,0.44,20.0,True,
llm_only_relocated,3,3,0.33986291280810954,0.33986291280810954,4.0,0.53,20.0,True,
llm_only_relocated,3,4,0.4610345364981831,0.33986291280810954,4.0,0.59,20.0,True,
llm_only_relocated,3,5,0.3734363374997016,0.33986291280810954,4.0,0.56,20.0,True,
llm_only_relocated,3,6,0.5619673425207513,0.33986291280810954,3.0,0.53,20.0,True,
llm_only_relocated,3,7,0.17883909975511597,0.17883909975511597,5.0,0.53,20.0,True,
llm_only_relocated,3,8,0.22431128984340645,0.17883909975511597,5.5,0.53,20.0,True,
llm_only_relocated,3,9,0.17084095304577973,0.17084095304577973,5.15,0.535,20.0,True,
llm_only_relocated,3,10,0.1635855309858459,0.1635855309858459,5.15,0.535,20.0,True,
llm_only_relocated,3,11,0.1660598233889997,0.1635855309858459,5.15,0.535,20.0,True,
llm_only_relocated,3,12,0.16701607983383204,0.1635855309858459,5.15,0.535,15.0,True,
llm_only_relocated,3,13,0.17278108738564796,0.1635855309858459,5.3,0.54,20.0,True,
llm_only_relocated,3,14,0.1605850082720162,0.1605850082720162,5.1,0.535,20.0,True,
llm_only_relocated,3,15,0.15708460820445133,0.15708460820445133,5.05,0.538,20.0,True,
llm_only_relocated,3,16,0.16277619606173863,0.15708460820445133,5.0,0.54,20.0,True,
llm_only_relocated,3,17,0.1506121575832771,0.1506121575832771,5.08,0.539,20.0,True,
llm_only_relocated,3,18,0.1526472330424584,0.1506121575832771,5.06,0.5395,20.0,True,
llm_only_relocated,3,19,0.15036809367818574,0.15036809367818574,5.08,0.5385,20.0,True,
llm_only_relocated,3,20,0.1492176708677968,0.1492176708677968,5.08,0.5388,20.0,True,
llm_only_relocated,3,21,0.14859347306228937,0.14859347306228937,5.08,0.5388,20.0,True,
llm_only_relocated,3,22,0.14929783537045976,0.14859347306228937,5.08,0.5388,20.0,True,
llm_only_relocated,3,23,0.1468406016319355,0.1468406016319355,5.09,0.54,20.0,True,
llm_only_relocated,3,24,0.1461399374327597,0.1461399374327597,5.1,0.5405,20.0,True,
llm_only_relocated,3,25,0.14505147984317612,0.14505147984317612,5.11,0.5412,20.0,True,
llm_only_relocated,3,26,0.14394253263557985,0.14394253263557985,5.13,0.542,20.0,True,
llm_only_relocated,3,27,0.14436085030034534,0.14394253263557985,5.15,0.543,20.0,True,
llm_only_relocated,3,28,0.14415070415074566,0.14394253263557985,5.14,0.5425,20.0,True,
llm_only_relocated,3,29,0.14327071500578242,0.14327071500578242,5.13,0.5422,20.0,True,
llm_only_relocated,3,30,0.1434436905931396,0.14327071500578242,5.135,0.5424,20.0,True,
llm_only_relocated,3,31,0.14331868498633443,0.14327071500578242,5.135,0.5426,20.0,True,
llm_only_relocated,3,32,0.1434209359752393,0.14327071500578242,5.135,0.5425,20.0,True,
llm_only_relocated,3,33,0.14372628272123644,0.14327071500578242,5.145,0.543,20.0,True,
llm_only_relocated,3,34,0.14352425286134163,0.14327071500578242,5.132,0.5424,20.0,True,
llm_only_relocated,3,35,0.1427548697780676,0.1427548697780676,5.128,0.5428,20.0,True,
llm_only_relocated,4,1,0.5200296847737391,0.5200296847737391,3.5,0.47,20.0,True,
llm_only_relocated,4,2,0.40818097080206006,0.40818097080206006,4.8,0.47,20.0,True,
llm_only_relocated,4,3,0.51826608980981,0.40818097080206006,5.8,0.47,20.0,True,
llm_only_relocated,4,4,0.2624153127599822,0.2624153127599822,4.8,0.51,20.0,True,
llm_only_relocated,4,5,0.22651504592963473,0.22651504592963473,4.8,0.55,20.0,True,
llm_only_relocated,4,6,0.3147549088031753,0.22651504592963473,4.8,0.585,20.0,True,
llm_only_relocated,4,7,0.3473193748968075,0.22651504592963473,4.2,0.555,20.0,True,
llm_only_relocated,4,8,0.17480847489929843,0.17480847489929843,5.3,0.555,20.0,True,
llm_only_relocated,4,9,0.2238059463341927,0.17480847489929843,5.65,0.56,20.0,True,
llm_only_relocated,4,10,0.1990545837417595,0.17480847489929843,5.3,0.57,20.0,True,
llm_only_relocated,4,11,0.17688743933786957,0.17480847489929843,5.3,0.555,20.0,True,
llm_only_relocated,4,12,0.19307421335929878,0.17480847489929843,5.4,0.56,15.0,True,
llm_only_relocated,4,13,0.16814493703924446,0.16814493703924446,5.2,0.552,20.0,True,
llm_only_relocated,4,14,0.17123811070104542,0.16814493703924446,5.15,0.547,20.0,True,
llm_only_relocated,4,15,0.16826721584962936,0.16814493703924446,5.25,0.556,20.0,True,
llm_only_relocated,4,16,0.16917087777852463,0.16814493703924446,5.22,0.554,20.0,True,
llm_only_relocated,4,17,0.16881008536273348,0.16814493703924446,5.23,0.555,20.0,True,
llm_only_relocated,4,18,0.17374716353924913,0.16814493703924446,5.27,0.558,20.0,True,
llm_only_relocated,4,19,0.16987583348882376,0.16814493703924446,5.21,0.5535,20.0,True,
llm_only_relocated,4,20,0.19396782072187319,0.16814493703924446,5.22,0.5545,25.0,True,
llm_only_relocated,4,21,0.16610185306501427,0.16610185306501427,5.23,0.5545,18.0,True,
llm_only_relocated,4,22,0.16688536852089728,0.16610185306501427,5.24,0.555,16.0,True,
llm_only_relocated,4,23,0.16672939472565965,0.16610185306501427,5.23,0.555,17.0,True,
llm_only_relocated,4,24,0.16619424029598814,0.16610185306501427,5.24,0.5555,18.0,True,
llm_only_relocated,4,25,0.1665557416309273,0.16610185306501427,5.25,0.556,18.5,True,
llm_only_relocated,4,26,0.1664114991914562,0.16610185306501427,5.245,0.5558,18.0,True,
llm_only_relocated,4,27,0.16684393236776357,0.16610185306501427,5.26,0.5565,18.0,True,
llm_only_relocated,4,28,0.16520516849718142,0.16520516849718142,5.235,0.555,18.0,True,
llm_only_relocated,4,29,0.16590458472389674,0.16520516849718142,5.24,0.5555,18.0,True,
llm_only_relocated,4,30,0.165489529422279,0.16520516849718142,5.232,0.5548,18.0,True,
llm_only_relocated,4,31,0.1658864219204082,0.16520516849718142,5.235,0.555,17.0,True,
llm_only_relocated,4,32,0.1645015282599944,0.1645015282599944,5.23,0.5545,18.0,True,
llm_only_relocated,4,33,0.16524719531436405,0.1645015282599944,5.228,0.5547,18.0,True,
llm_only_relocated,4,34,0.16488957666842335,0.1645015282599944,5.228,0.5545,18.5,True,
llm_only_relocated,4,35,0.16502029125226633,0.1645015282599944,5.228,0.5546,18.0,True,
llm_only_relocated,5,1,0.5543165879815489,0.5543165879815489,3.5,0.47,20.0,True,
llm_only_relocated,5,2,0.4236842493628081,0.4236842493628081,4.5,0.47,20.0,True,
llm_only_relocated,5,3,0.5185751052598376,0.4236842493628081,5.5,0.47,20.0,True,
llm_only_relocated,5,4,0.5696437997329287,0.4236842493628081,4.5,0.44,20.0,True,
llm_only_relocated,5,5,0.3505437844295396,0.3505437844295396,4.5,0.5,20.0,True,
llm_only_relocated,5,6,0.30870265980155454,0.30870265980155454,4.5,0.54,20.0,True,
llm_only_relocated,5,7,0.3875808160999806,0.30870265980155454,4.5,0.58,20.0,True,
llm_only_relocated,5,8,0.3351623831414077,0.30870265980155454,4.5,0.56,20.0,True,
llm_only_relocated,5,9,0.36526009073472265,0.30870265980155454,4.2,0.53,20.0,True,
llm_only_relocated,5,10,0.29849814416093506,0.29849814416093506,4.5,0.545,20.0,True,
llm_only_relocated,5,11,0.29449482346358496,0.29449482346358496,4.5,0.545,20.0,True,
llm_only_relocated,5,12,0.3225631147163347,0.29449482346358496,4.5,0.545,10.0,True,
llm_only_relocated,5,13,0.3849827967240881,0.29449482346358496,4.0,0.545,20.0,True,
llm_only_relocated,5,14,0.23183942634535332,0.23183942634535332,4.9,0.545,20.0,True,
llm_only_relocated,5,15,0.19581693367871,0.19581693367871,5.2,0.55,20.0,True,
llm_only_relocated,5,16,0.2470457377704245,0.19581693367871,5.5,0.56,20.0,True,
llm_only_relocated,5,17,0.22849913340326652,0.19581693367871,5.2,0.565,20.0,True,
llm_only_relocated,5,18,0.23937998648239883,0.19581693367871,5.25,0.55,25.0,True,
llm_only_relocated,5,19,0.22647641749238898,0.19581693367871,5.2,0.54,20.0,True,
llm_only_relocated,5,20,0.2055593292809686,0.19581693367871,5.1,0.552,20.0,True,
llm_only_relocated,5,21,0.21811444915110972,0.19581693367871,5.3,0.548,20.0,True,
llm_only_relocated,5,22,0.21012524854863973,0.19581693367871,5.15,0.555,20.0,True,
llm_only_relocated,5,23,0.20580046221516413,0.19581693367871,5.2,0.554,20.0,True,
llm_only_relocated,5,24,0.20293707046910273,0.19581693367871,5.2,0.553,20.0,True,
llm_only_relocated,5,25,0.19416734354283433,0.19416734354283433,5.2,0.551,18.0,True,
llm_only_relocated,5,26,0.19830953843217994,0.19416734354283433,5.2,0.552,15.0,True,
llm_only_relocated,5,27,0.20237870974054994,0.19416734354283433,5.25,0.554,18.0,True,
llm_only_relocated,5,28,0.2083400660307842,0.19416734354283433,5.25,0.547,18.0,True,
llm_only_relocated,5,29,0.1970529266681375,0.19416734354283433,5.18,0.551,19.0,True,
llm_only_relocated,5,30,0.19618271672505283,0.19416734354283433,5.2,0.5515,18.0,True,
llm_only_relocated,5,31,0.19730440180465153,0.19416734354283433,5.22,0.5525,18.0,True,
llm_only_relocated,5,32,0.19804914202426777,0.19416734354283433,5.17,0.552,18.0,True,
llm_only_relocated,5,33,0.19641770342841142,0.19416734354283433,5.19,0.5515,18.0,True,
llm_only_relocated,5,34,0.19484187451664017,0.19416734354283433,5.2,0.5512,17.0,True,
llm_only_relocated,5,35,0.1953404252119151,0.19416734354283433,5.2,0.5512,17.0,True,
llm_only_relocated,6,1,0.4348675108824937,0.4348675108824937,4.0,0.47,20.0,True,
llm_only_relocated,6,2,0.413503182785984,0.413503182785984,5.0,0.47,20.0,True,
llm_only_relocated,6,3,0.5541774495723173,0.413503182785984,5.0,0.44,20.0,True,
llm_only_relocated,6,4,0.26529813610783864,0.26529813610783864,5.0,0.51,20.0,True,
llm_only_relocated,6,5,0.19022411659518462,0.19022411659518462,5.0,0.55,20.0,True,
llm_only_relocated,6,6,0.27556025598653616,0.19022411659518462,5.0,0.585,20.0,True,
llm_only_relocated,6,7,0.22779611543320774,0.19022411659518462,5.0,0.565,20.0,True,
llm_only_relocated,6,8,0.18463907101296984,0.18463907101296984,5.0,0.545,20.0,True,
llm_only_relocated,6,9,0.21732674771340116,0.18463907101296984,5.5,0.545,20.0,True,
llm_only_relocated,6,10,0.18210397831118155,0.18210397831118155,5.0,0.545,20.0,True,
llm_only_relocated,6,11,0.22777249134192457,0.18210397831118155,4.7,0.55,20.0,True,
llm_only_relocated,6,12,0.1951234642449517,0.18210397831118155,5.0,0.5475,12.0,True,
llm_only_relocated,6,13,0.18462913302410056,0.18210397831118155,5.0,0.54,20.0,True,
llm_only_relocated,6,14,0.18258397831118153,0.18210397831118155,5.0,0.545,20.0,True,
llm_only_relocated,6,15,0.17990478154361803,0.17990478154361803,5.0,0.55,20.0,True,
llm_only_relocated,6,16,0.19122724038936922,0.17990478154361803,5.0,0.555,20.0,True,
llm_only_relocated,6,17,0.16718175129317897,0.16718175129317897,5.1,0.551,20.0,True,
llm_only_relocated,6,18,0.1681955255185711,0.16718175129317897,5.15,0.553,20.0,True,
llm_only_relocated,6,19,0.16568653193801086,0.16568653193801086,5.15,0.552,20.0,True,
llm_only_relocated,6,20,0.16803068666673257,0.16568653193801086,5.2,0.554,20.0,True,
llm_only_relocated,6,21,0.16589533277174046,0.16568653193801086,5.12,0.5515,20.0,True,
llm_only_relocated,6,22,0.16638487427022686,0.16568653193801086,5.16,0.5525,20.0,True,
llm_only_relocated,6,23,0.1718574517553093,0.16568653193801086,5.14,0.552,22.0,True,
llm_only_relocated,6,24,0.16425629849521098,0.16425629849521098,5.13,0.5518,18.0,True,
llm_only_relocated,6,25,0.1653543517276891,0.16425629849521098,5.13,0.5515,16.0,True,
llm_only_relocated,6,26,0.1650811898049165,0.16425629849521098,5.135,0.5522,18.0,True,
llm_only_relocated,6,27,0.16311689998844822,0.16311689998844822,5.125,0.5512,18.0,True,
llm_only_relocated,6,28,0.16390178070792177,0.16311689998844822,5.128,0.5514,18.0,True,
llm_only_relocated,6,29,0.1642435566899712,0.16311689998844822,5.126,0.5515,19.0,True,
llm_only_relocated,6,30,0.16220705368003252,0.16220705368003252,5.125,0.5508,18.0,True,
llm_only_relocated,6,31,0.1610645527504303,0.1610645527504303,5.12,0.5502,18.0,True,
llm_only_relocated,6,32,0.1607822587770555,0.1607822587770555,5.115,0.5495,18.0,True,
llm_only_relocated,6,33,0.1623275492547264,0.1607822587770555,5.108,0.5488,18.0,True,
llm_only_relocated,6,34,0.1609363676124354,0.1607822587770555,5.115,0.5493,18.0,True,
llm_only_relocated,6,35,0.16197221634195116,0.1607822587770555,5.112,0.549,18.0,True,
llm_only_relocated,7,1,0.541480607812806,0.541480607812806,3.5,0.47,20.0,True,
llm_only_relocated,7,2,0.4126459618048014,0.4126459618048014,4.5,0.47,20.0,True,
llm_only_relocated,7,3,0.5029939483940586,0.4126459618048014,5.5,0.47,20.0,True,
llm_only_relocated,7,4,0.32659701042180045,0.32659701042180045,4.5,0.51,20.0,True,
llm_only_relocated,7,5,0.2981547388278986,0.2981547388278986,4.5,0.55,20.0,True,
llm_only_relocated,7,6,0.4034778474807875,0.2981547388278986,4.5,0.59,20.0,True,
llm_only_relocated,7,7,0.3932578122986819,0.2981547388278986,4.0,0.55,20.0,True,
llm_only_relocated,7,8,0.24195843062381028,0.24195843062381028,5.0,0.56,20.0,True,
llm_only_relocated,7,9,0.22259696079391683,0.22259696079391683,5.4,0.575,20.0,True,
llm_only_relocated,7,10,0.28482799778183804,0.22259696079391683,5.8,0.59,20.0,True,
llm_only_relocated,7,11,0.22862421678989442,0.22259696079391683,5.4,0.575,20.0,True,
llm_only_relocated,7,12,0.2695071333966191,0.22259696079391683,5.25,0.59,15.0,True,
llm_only_relocated,7,13,0.23718107258493953,0.22259696079391683,5.3,0.58,20.0,True,
llm_only_relocated,7,14,0.24515386385018453,0.22259696079391683,5.45,0.588,20.0,True,
llm_only_relocated,7,15,0.23189345706429376,0.22259696079391683,5.5,0.567,20.0,True,
llm_only_relocated,7,16,0.24992417980803386,0.22259696079391683,5.6,0.578,20.0,True,
llm_only_relocated,7,17,0.24985286823258,0.22259696079391683,5.4,0.575,25.0,True,
llm_only_relocated,7,18,0.278634241948327,0.22259696079391683,5.2,0.592,20.0,True,
llm_only_relocated,7,19,0.2228312240456391,0.22259696079391683,5.4,0.575,15.0,True,
llm_only_relocated,7,20,0.22020962092524715,0.22020962092524715,5.4,0.575,18.0,True,
llm_only_relocated,7,21,0.21768821717250014,0.21768821717250014,5.4,0.572,18.0,True,
llm_only_relocated,7,22,0.22587802370068755,0.21768821717250014,5.45,0.57,16.0,True,
llm_only_relocated,7,23,0.21271562705568633,0.21271562705568633,5.35,0.568,18.0,True,
llm_only_relocated,7,24,0.20808214670335784,0.20808214670335784,5.3,0.564,18.0,True,
llm_only_relocated,7,25,0.20080998563287578,0.20080998563287578,5.2,0.558,18.0,True,
llm_only_relocated,7,26,0.19287587741388257,0.19287587741388257,5.1,0.552,18.0,True,
llm_only_relocated,7,27,0.2037397604348536,0.19287587741388257,5.0,0.546,18.0,True,
llm_only_relocated,7,28,0.1945737405023875,0.19287587741388257,5.05,0.5495,18.0,True,
llm_only_relocated,7,29,0.20121795001094497,0.19287587741388257,5.12,0.556,17.0,True,
llm_only_relocated,7,30,0.1975634464344763,0.19287587741388257,5.08,0.553,18.0,True,
llm_only_relocated,7,31,0.19309422866252543,0.19287587741388257,5.1,0.544,18.0,True,
llm_only_relocated,7,32,0.18949875781111636,0.18949875781111636,5.1,0.548,18.0,True,
llm_only_relocated,7,33,0.18848503413743756,0.18848503413743756,5.15,0.547,18.0,True,
llm_only_relocated,7,34,0.19807721830425576,0.18848503413743756,5.2,0.545,18.0,True,
llm_only_relocated,7,35,0.1902012239495391,0.18848503413743756,5.13,0.546,18.0,True,
llm_only_relocated,8,1,0.5151011928387652,0.5151011928387652,3.5,0.47,20.0,True,
llm_only_relocated,8,2,0.39935815324719043,0.39935815324719043,4.8,0.47,20.0,True,
llm_only_relocated,8,3,0.48105228724554766,0.39935815324719043,5.6,0.47,20.0,True,
llm_only_relocated,8,4,0.24182261496002308,0.24182261496002308,4.8,0.52,20.0,True,
llm_only_relocated,8,5,0.2703110035590798,0.24182261496002308,4.8,0.57,20.0,True,
llm_only_relocated,8,6,0.247940245047709,0.24182261496002308,4.65,0.537,20.0,True,
llm_only_relocated,8,7,0.3267180304206006,0.24182261496002308,4.2,0.53,20.0,True,
llm_only_relocated,8,8,0.21524784610716735,0.21524784610716735,5.0,0.525,20.0,True,
llm_only_relocated,8,9,0.19402442170240727,0.19402442170240727,5.2,0.535,20.0,True,
llm_only_relocated,8,10,0.21929872822059635,0.19402442170240727,5.45,0.54,20.0,True,
llm_only_relocated,8,11,0.19636513091568636,0.19402442170240727,5.2,0.535,20.0,True,
llm_only_relocated,8,12,0.19381369342132534,0.19381369342132534,5.2,0.535,15.0,True,
llm_only_relocated,8,13,0.17832754854606342,0.17832754854606342,5.15,0.54,15.0,True,
llm_only_relocated,8,14,0.16844015347846114,0.16844015347846114,5.2,0.545,15.0,True,
llm_only_relocated,8,15,0.17223625146149218,0.16844015347846114,5.25,0.55,12.0,True,
llm_only_relocated,8,16,0.16528909285823676,0.16528909285823676,5.22,0.548,14.0,True,
llm_only_relocated,8,17,0.16903183471015037,0.16528909285823676,5.25,0.552,13.0,True,
llm_only_relocated,8,18,0.16084241096281035,0.16084241096281035,5.23,0.55,14.0,True,
llm_only_relocated,8,19,0.16215214864953406,0.16084241096281035,5.23,0.552,14.0,True,
llm_only_relocated,8,20,0.16430887533752403,0.16084241096281035,5.24,0.554,14.0,True,
llm_only_relocated,8,21,0.17237095487577123,0.16084241096281035,5.23,0.552,12.0,True,
